title,content,augmented_title,augmented_content
Very helpful staff that explained…,Very helpful staff that explained different options for me and was knowledgeable on all the phones and sim contracts,['Very helpful staff that explicate …'],['very helpful staff that explained different topics for me and was knowledgeable on all the ideas and sim contracts']
Excellent service,"Excellent service, I was greeted well and made to feel comfortable. I  didn't come to purchase a phone. But after the warm and friendly welcome, I ended up buying a new phone",['Splendid service'],"[""excellent service, i was greeted well and made to feel funny. jake didn't come to buying a phone. but after the familiar and friendly welcome, i ended up buying a new phone""]"
Came onto great yarmouth store on…,"Came onto great yarmouth store on Saturday 7th September  & spoke to Megan. We went in with a problem with which we could not sort ourselves. Megan was absolutely fantastic, she sorted our problem with super satisfaction & in several minutes. Will most definitely recommend her to any other person we know that needs help with their phone. Lovely friendly girl.",['Came onto great yarmouth store on …'],"['came across great yarmouth store on saturday 7th september & spoke to megan. we went in with our problem with which we can not sort ourselves. she was absolutely fantastic, she sorted our problem with super satisfaction & in several minutes. will most evenings recommend her to an other person we know that needs help to their phone. lovely friendly girl.']"
Jamie,Helpful In all areas,['Jamie'],['helpful in all matters']
Excellent service from Michael,"Excellent service from Michael, very helpful and made the whole experience easy and understandable. Would definitely recommend",['Excellent service from Michael'],"['excellent text from michael, very helpful and made the whole experience easy and understandable. very definitely recommend']"
Great service,"Great service, very quick. Attila done a great job in finding me a new Google Pixel phone.",['Great avail'],"['great service, very interesting. attila played a great job in finding me a new google blue phone.']"
Ali is very patient and…,"Ali is very patient and informative,very knowledgeable and friendly,definitely recommend to everyone",['Ali is rattling patient and …'],"['ali is very helpful and informative, seemingly knowledgeable and friendly, definitely recommend to everyone']"
Jade was brilliant,"Jade was brilliant, very helpful especially for a first phone buy, definitely reccomend",['Jade was bright'],"['jade was safe, very comfortable especially for a first phone buy, definitely reccomend']"
Molly was amazing,"Molly was amazing, very helpful and knowledgeable, give her a pay rise.",['Mollie was amazing'],"['gavin was amazing, very helpful but knowledgeable, give her a pay rise.']"
Nesha was amazing,"Date of experience: September 07, 2024",['Nesha be amazing'],"['date of creation : september 07, 2024']"
Adam from Market Street deserves a huge…,Adam from Market Street deserves a huge thank you for today. He's a great asset to the company.,['Adam from Market Street deserves a huge …'],"[""adam from market place deserves a huge thank you for today. he's a great addition to his company.""]"
